"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	"Race"	"Race Code"	"Age Groups"	"Age Groups Code"	Count
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2014"	"2014"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	22
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2014"	"2014"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	34
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2014"	"2014"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	60
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2014"	"2014"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	64
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2014"	"2014"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	114
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2014"	"2014"	"Black or African American"	"2054-5"	"55-59 years"	"55-59"	158
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2014"	"2014"	"Black or African American"	"2054-5"	"60-64 years "	"60-64"	144
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2014"	"2014"	"Black or African American"	"2054-5"	"65-69 years"	"65-69"	105
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2014"	"2014"	"Black or African American"	"2054-5"	"70-74 years"	"70-74"	81
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2014"	"2014"	"Black or African American"	"2054-5"	"75-79 years"	"75-79"	42
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2014"	"2014"	"Black or African American"	"2054-5"	"80-84 years"	"80-84"	27
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2014"	"2014"	"Black or African American"	"2054-5"	"85+ years"	"85+"	34
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2014"	"2014"	"White"	"2106-3"	"30-34 years"	"30-34"	21
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2014"	"2014"	"White"	"2106-3"	"35-39 years"	"35-39"	58
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2014"	"2014"	"White"	"2106-3"	"40-44 years"	"40-44"	138
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2014"	"2014"	"White"	"2106-3"	"45-49 years"	"45-49"	196
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2014"	"2014"	"White"	"2106-3"	"50-54 years"	"50-54"	257
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2014"	"2014"	"White"	"2106-3"	"55-59 years"	"55-59"	332
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2014"	"2014"	"White"	"2106-3"	"60-64 years "	"60-64"	381
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2014"	"2014"	"White"	"2106-3"	"65-69 years"	"65-69"	404
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2014"	"2014"	"White"	"2106-3"	"70-74 years"	"70-74"	359
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2014"	"2014"	"White"	"2106-3"	"75-79 years"	"75-79"	288
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2014"	"2014"	"White"	"2106-3"	"80-84 years"	"80-84"	187
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2014"	"2014"	"White"	"2106-3"	"85+ years"	"85+"	120
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2015"	"2015"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	19
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2015"	"2015"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	33
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2015"	"2015"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	50
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2015"	"2015"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	82
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2015"	"2015"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	112
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2015"	"2015"	"Black or African American"	"2054-5"	"55-59 years"	"55-59"	166
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2015"	"2015"	"Black or African American"	"2054-5"	"60-64 years "	"60-64"	129
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2015"	"2015"	"Black or African American"	"2054-5"	"65-69 years"	"65-69"	130
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2015"	"2015"	"Black or African American"	"2054-5"	"70-74 years"	"70-74"	81
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2015"	"2015"	"Black or African American"	"2054-5"	"75-79 years"	"75-79"	45
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2015"	"2015"	"Black or African American"	"2054-5"	"80-84 years"	"80-84"	46
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2015"	"2015"	"Black or African American"	"2054-5"	"85+ years"	"85+"	43
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2015"	"2015"	"White"	"2106-3"	"30-34 years"	"30-34"	26
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2015"	"2015"	"White"	"2106-3"	"35-39 years"	"35-39"	66
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2015"	"2015"	"White"	"2106-3"	"40-44 years"	"40-44"	124
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2015"	"2015"	"White"	"2106-3"	"45-49 years"	"45-49"	202
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2015"	"2015"	"White"	"2106-3"	"50-54 years"	"50-54"	289
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2015"	"2015"	"White"	"2106-3"	"55-59 years"	"55-59"	297
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2015"	"2015"	"White"	"2106-3"	"60-64 years "	"60-64"	412
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2015"	"2015"	"White"	"2106-3"	"65-69 years"	"65-69"	419
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2015"	"2015"	"White"	"2106-3"	"70-74 years"	"70-74"	394
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2015"	"2015"	"White"	"2106-3"	"75-79 years"	"75-79"	273
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2015"	"2015"	"White"	"2106-3"	"80-84 years"	"80-84"	171
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2015"	"2015"	"White"	"2106-3"	"85+ years"	"85+"	144
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2016"	"2016"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	18
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2016"	"2016"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	47
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2016"	"2016"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	66
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2016"	"2016"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	92
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2016"	"2016"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	111
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2016"	"2016"	"Black or African American"	"2054-5"	"55-59 years"	"55-59"	124
