"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	"Race"	"Race Code"	"Age Groups"	"Age Groups Code"	Count
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2005"	"2005"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	25
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2005"	"2005"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	53
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2005"	"2005"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	96
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2005"	"2005"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	94
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2005"	"2005"	"Black or African American"	"2054-5"	"55-59 years"	"55-59"	81
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2005"	"2005"	"Black or African American"	"2054-5"	"60-64 years "	"60-64"	70
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2005"	"2005"	"Black or African American"	"2054-5"	"65-69 years"	"65-69"	78
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2005"	"2005"	"Black or African American"	"2054-5"	"70-74 years"	"70-74"	63
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2005"	"2005"	"Black or African American"	"2054-5"	"75-79 years"	"75-79"	43
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2005"	"2005"	"Black or African American"	"2054-5"	"80-84 years"	"80-84"	40
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2005"	"2005"	"Black or African American"	"2054-5"	"85+ years"	"85+"	46
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2005"	"2005"	"White"	"2106-3"	"30-34 years"	"30-34"	21
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2005"	"2005"	"White"	"2106-3"	"35-39 years"	"35-39"	68
