"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	"Race"	"Race Code"	"Age Groups"	"Age Groups Code"	Count
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2000"	"2000"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	31
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2000"	"2000"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	51
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2000"	"2000"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	73
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2000"	"2000"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	71
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2000"	"2000"	"Black or African American"	"2054-5"	"55-59 years"	"55-59"	53
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2000"	"2000"	"Black or African American"	"2054-5"	"60-64 years "	"60-64"	55
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2000"	"2000"	"Black or African American"	"2054-5"	"65-69 years"	"65-69"	51
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2000"	"2000"	"Black or African American"	"2054-5"	"70-74 years"	"70-74"	48
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2000"	"2000"	"Black or African American"	"2054-5"	"75-79 years"	"75-79"	42
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2000"	"2000"	"Black or African American"	"2054-5"	"80-84 years"	"80-84"	29
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2000"	"2000"	"Black or African American"	"2054-5"	"85+ years"	"85+"	30
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2000"	"2000"	"White"	"2106-3"	"30-34 years"	"30-34"	29
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2000"	"2000"	"White"	"2106-3"	"35-39 years"	"35-39"	70
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2000"	"2000"	"White"	"2106-3"	"40-44 years"	"40-44"	128
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2000"	"2000"	"White"	"2106-3"	"45-49 years"	"45-49"	208
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2000"	"2000"	"White"	"2106-3"	"50-54 years"	"50-54"	271
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2000"	"2000"	"White"	"2106-3"	"55-59 years"	"55-59"	254
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2000"	"2000"	"White"	"2106-3"	"60-64 years "	"60-64"	275
	"Female Breast"	"26000-Female"	"Alabama"	"01"	"2000"	"2000"	"White"	"2106-3"	"65-69 years"	"65-69"	316
